Date,구장,원정팀,원정팀점수,홈팀점수,홈팀,원정팀결과,홈팀결과,비고
2011-04-26 18:30,사직,LG,5,8,롯데,패,승,정규시즌
2011-04-27 18:30,사직,LG,15,7,롯데,승,패,정규시즌
2011-04-28 18:30,사직,LG,8,7,롯데,승,패,정규시즌
2011-05-03 18:30,사직,삼성,1,5,롯데,패,승,정규시즌
2011-05-04 18:30,사직,삼성,4,6,롯데,패,승,정규시즌
2011-05-05 14:00,사직,삼성,7,0,롯데,승,패,정규시즌
2011-05-10 17:00,사직,넥센,3,4,롯데,패,승,정규시즌
2011-05-12 18:30,사직,넥센,0,4,롯데,패,승,정규시즌
2011-05-13 18:30,사직,기아,8,6,롯데,승,패,정규시즌
2011-05-14 17:00,사직,기아,3,8,롯데,패,승,정규시즌
2011-05-15 17:00,사직,기아,4,5,롯데,패,승,정규시즌
2011-05-24 18:30,사직,삼성,3,4,롯데,패,승,정규시즌
2011-05-25 18:30,사직,삼성,3,3,롯데,무,무,정규시즌
2011-05-31 18:30,사직,넥센,7,8,롯데,패,승,정규시즌
2011-06-01 18:30,사직,넥센,2,5,롯데,패,승,정규시즌
2011-06-02 18:30,사직,넥센,11,10,롯데,승,패,정규시즌
2011-06-03 18:30,사직,LG,7,5,롯데,승,패,정규시즌
2011-06-04 14:00,사직,LG,6,4,롯데,승,패,정규시즌
2011-06-05 17:00,사직,LG,5,11,롯데,패,승,정규시즌
2011-06-10 18:30,사직,한화,6,7,롯데,패,승,정규시즌
2011-06-11 17:00,사직,한화,9,3,롯데,승,패,정규시즌
2011-06-12 17:00,사직,한화,2,17,롯데,패,승,정규시즌
2011-06-21 18:30,사직,두산,6,3,롯데,승,패,정규시즌
2011-06-23 18:30,사직,두산,9,5,롯데,승,패,정규시즌
2011-06-28 18:30,사직,기아,7,2,롯데,승,패,정규시즌
2011-06-29 18:30,사직,기아,7,2,롯데,승,패,정규시즌
2011-06-30 18:30,사직,기아,0,4,롯데,패,승,정규시즌
2011-07-12 18:30,사직,한화,3,11,롯데,패,승,정규시즌
2011-07-14 18:30,사직,한화,3,4,롯데,패,승,정규시즌
2011-07-15 18:30,사직,LG,6,10,롯데,패,승,정규시즌
2011-07-16 17:00,사직,LG,4,5,롯데,패,승,정규시즌
2011-07-17 17:00,사직,LG,4,0,롯데,승,패,정규시즌
2011-07-26 18:30,사직,SK,11,2,롯데,승,패,정규시즌
