Date,구장,원정팀,원정팀점수,홈팀점수,홈팀,원정팀결과,홈팀결과,비고
2010-05-06 18:30,대구,롯데,6,2,삼성,승,패,정규시즌
2010-05-07 18:30,사직,두산,7,13,롯데,패,승,정규시즌
2010-05-08 17:00,사직,두산,1,11,롯데,패,승,정규시즌
2010-05-09 14:00,사직,두산,11,1,롯데,승,패,정규시즌
2010-05-11 18:30,사직,SK,21,10,롯데,승,패,정규시즌
2010-05-12 18:30,사직,SK,2,1,롯데,승,패,정규시즌
2010-05-13 18:30,사직,SK,7,4,롯데,승,패,정규시즌
2010-05-14 18:30,잠실,롯데,4,3,LG,승,패,정규시즌
2010-05-15 17:00,잠실,롯데,13,4,LG,승,패,정규시즌
2010-05-16 17:00,잠실,롯데,2,15,LG,패,승,정규시즌
2010-05-19 18:30,군산,롯데,3,2,기아,승,패,정규시즌
2010-05-20 18:30,군산,롯데,9,4,기아,승,패,정규시즌
2010-05-21 17:00,사직,삼성,3,2,롯데,승,패,정규시즌
2010-05-25 18:30,사직,두산,7,10,롯데,패,승,정규시즌
2010-05-26 18:30,사직,두산,3,10,롯데,패,승,정규시즌
2010-05-27 18:30,사직,두산,10,6,롯데,승,패,정규시즌
2010-05-28 18:30,문학,롯데,5,4,SK,승,패,정규시즌
2010-05-29 17:00,문학,롯데,2,4,SK,패,승,정규시즌
2010-05-30 17:00,문학,롯데,4,11,SK,패,승,정규시즌
2010-06-01 18:30,사직,LG,6,5,롯데,승,패,정규시즌
2010-06-02 18:30,사직,LG,9,6,롯데,승,패,정규시즌
2010-06-03 18:30,사직,LG,2,11,롯데,패,승,정규시즌
2010-06-04 18:30,대구,롯데,5,3,삼성,승,패,정규시즌
2010-06-05 17:00,대구,롯데,10,2,삼성,승,패,정규시즌
2010-06-06 17:00,대구,롯데,10,1,삼성,승,패,정규시즌
2010-06-08 18:30,목동,롯데,2,2,넥센,무,무,정규시즌
2010-06-09 18:30,목동,롯데,13,3,넥센,승,패,정규시즌
2010-06-10 18:30,목동,롯데,10,5,넥센,승,패,정규시즌
2010-06-11 18:30,마산,한화,2,7,롯데,패,승,정규시즌
2010-06-12 16:00,사직,한화,0,7,롯데,패,승,정규시즌
2010-06-13 17:00,사직,한화,5,4,롯데,승,패,정규시즌
2010-06-15 18:30,사직,삼성,9,5,롯데,승,패,정규시즌
2010-06-16 18:30,사직,삼성,11,7,롯데,승,패,정규시즌
2010-06-17 16:30,사직,삼성,2,2,롯데,무,무,정규시즌
2010-06-18 18:30,잠실,롯데,4,7,LG,패,승,정규시즌
2010-06-19 17:00,잠실,롯데,8,9,LG,패,승,정규시즌
2010-06-20 17:00,잠실,롯데,10,5,LG,승,패,정규시즌
2010-06-22 18:30,마산,한화,2,3,롯데,패,승,정규시즌
2010-06-23 18:30,마산,한화,1,3,롯데,패,승,정규시즌
2010-06-24 18:30,마산,한화,5,9,롯데,패,승,정규시즌
2010-06-27 17:00,사직,SK,6,4,롯데,승,패,정규시즌
2010-06-29 18:30,대구,롯데,1,6,삼성,패,승,정규시즌
2010-06-30 18:30,대구,롯데,3,4,삼성,패,승,정규시즌
2010-07-01 18:30,대구,롯데,6,7,삼성,패,승,정규시즌
2010-07-03 17:00,잠실,롯데,14,13,LG,승,패,정규시즌
2010-07-04 17:00,잠실,롯데,6,2,LG,승,패,정규시즌
2010-07-06 18:30,마산,넥센,4,6,롯데,패,승,정규시즌
2010-07-07 18:30,마산,넥센,3,2,롯데,승,패,정규시즌
2010-07-08 18:30,마산,넥센,4,10,롯데,패,승,정규시즌
2010-07-09 18:30,사직,SK,4,5,롯데,패,승,정규시즌
2010-07-10 17:00,사직,SK,6,2,롯데,승,패,정규시즌
2010-07-13 18:30,목동,롯데,9,2,넥센,승,패,정규시즌
2010-07-14 18:30,목동,롯데,2,2,넥센,무,무,정규시즌
2010-07-15 18:30,목동,롯데,4,9,넥센,패,승,정규시즌
2010-07-18 17:00,잠실,롯데,1,3,두산,패,승,정규시즌
2010-07-20 18:30,대전,롯데,3,4,한화,패,승,정규시즌
2010-07-21 18:30,대전,롯데,0,1,한화,패,승,정규시즌
2010-07-22 18:30,대전,롯데,9,1,한화,승,패,정규시즌
2010-07-27 18:30,사직,기아,7,5,롯데,승,패,정규시즌
2010-07-29 18:30,사직,기아,12,5,롯데,승,패,정규시즌
2010-07-30 18:30,사직,LG,9,17,롯데,패,승,정규시즌
2010-07-31 17:00,사직,LG,8,10,롯데,패,승,정규시즌
2010-08-01 17:00,사직,LG,3,5,롯데,패,승,정규시즌
2010-08-03 18:30,잠실,롯데,7,1,두산,승,패,정규시즌
2010-08-04 18:30,잠실,롯데,4,13,두산,패,승,정규시즌
2010-08-05 18:30,잠실,롯데,4,1,두산,승,패,정규시즌
2010-08-06 18:30,대전,롯데,11,3,한화,승,패,정규시즌
2010-08-07 17:00,대전,롯데,4,12,한화,패,승,정규시즌
2010-08-08 17:00,대전,롯데,2,4,한화,패,승,정규시즌
2010-08-11 18:30,사직,삼성,2,8,롯데,패,승,정규시즌
2010-08-12 18:30,사직,삼성,10,7,롯데,승,패,정규시즌
2010-08-13 18:30,무등,롯데,2,7,기아,패,승,정규시즌
2010-08-14 17:00,무등,롯데,10,2,기아,승,패,정규시즌
2010-08-15 17:00,무등,롯데,2,3,기아,패,승,정규시즌
2010-08-17 18:30,문학,롯데,5,0,SK,승,패,정규시즌
2010-08-18 18:30,문학,롯데,9,5,SK,승,패,정규시즌
2010-08-19 18:30,문학,롯데,6,3,SK,승,패,정규시즌
2010-08-20 18:30,사직,두산,6,8,롯데,패,승,정규시즌
2010-08-21 17:00,사직,두산,4,14,롯데,패,승,정규시즌
2010-08-22 17:00,사직,두산,3,8,롯데,패,승,정규시즌
2010-08-24 18:30,사직,기아,7,5,롯데,승,패,정규시즌
2010-08-27 18:30,사직,두산,5,6,롯데,패,승,정규시즌
2010-08-28 17:00,사직,SK,10,5,롯데,승,패,정규시즌
2010-08-29 17:00,사직,SK,8,5,롯데,승,패,정규시즌
2010-09-01 18:30,사직,LG,8,7,롯데,승,패,정규시즌
2010-09-02 18:30,무등,롯데,6,1,기아,승,패,정규시즌
2010-09-03 18:30,무등,롯데,10,6,기아,승,패,정규시즌
2010-09-04 17:00,사직,삼성,1,2,롯데,패,승,정규시즌
2010-09-05 17:00,사직,삼성,12,5,롯데,승,패,정규시즌
2010-09-07 18:30,사직,넥센,4,3,롯데,승,패,정규시즌
2010-09-08 18:30,대구,롯데,4,3,삼성,승,패,정규시즌
2010-09-09 18:30,잠실,롯데,3,0,LG,승,패,정규시즌
2010-09-11 17:00,잠실,롯데,12,10,두산,승,패,정규시즌
2010-09-12 17:00,잠실,롯데,0,5,두산,패,승,정규시즌
2010-09-14 18:30,사직,SK,1,3,롯데,패,승,정규시즌
2010-09-15 18:30,사직,SK,5,6,롯데,패,승,정규시즌
2010-09-17 18:30,대전,롯데,2,7,한화,패,승,정규시즌
2010-09-18 17:00,대전,롯데,11,1,한화,승,패,정규시즌
2010-09-19 17:00,대전,롯데,7,1,한화,승,패,정규시즌
2010-09-24 18:30,사직,삼성,1,6,롯데,패,승,정규시즌
2010-09-25 17:00,목동,롯데,3,1,넥센,승,패,정규시즌
2010-09-29 18:00,잠실,롯데,10,5,두산,승,패,준플레이오프
2010-09-30 18:00,잠실,롯데,4,1,두산,승,패,준플레이오프
2010-10-02 14:00,사직,두산,6,5,롯데,승,패,준플레이오프
2010-10-03 14:00,사직,두산,11,4,롯데,승,패,준플레이오프
2010-10-05 18:00,잠실,롯데,4,11,두산,패,승,준플레이오프
2011-03-12 13:00,사직,SK,5,11,롯데,패,승,시범경기
2011-03-13 13:00,사직,SK,5,1,롯데,승,패,시범경기
2011-03-15 13:00,사직,두산,1,8,롯데,패,승,시범경기
2011-03-16 13:00,사직,두산,3,6,롯데,패,승,시범경기
2011-03-17 13:00,사직,넥센,4,8,롯데,패,승,시범경기
2011-03-18 13:00,사직,넥센,3,2,롯데,승,패,시범경기
2011-03-19 13:00,대전,롯데,2,3,한화,패,승,시범경기
2011-03-22 13:00,사직,기아,6,5,롯데,승,패,시범경기
2011-03-23 13:00,사직,기아,1,3,롯데,패,승,시범경기
2011-03-24 13:00,잠실,롯데,4,2,LG,승,패,시범경기
2011-03-25 13:00,잠실,롯데,4,5,LG,패,승,시범경기
2011-03-26 13:00,대구,롯데,4,1,삼성,승,패,시범경기
2011-03-27 13:00,대구,롯데,4,0,삼성,승,패,시범경기
2011-04-02 14:00,사직,한화,0,6,롯데,패,승,정규시즌
2011-04-03 14:00,사직,한화,3,1,롯데,승,패,정규시즌
2011-04-05 18:30,대구,롯데,10,3,삼성,승,패,정규시즌
2011-04-06 18:30,대구,롯데,0,1,삼성,패,승,정규시즌
2011-04-08 18:30,목동,롯데,0,3,넥센,패,승,정규시즌
2011-04-09 17:00,목동,롯데,6,12,넥센,패,승,정규시즌
2011-04-10 17:00,목동,롯데,5,1,넥센,승,패,정규시즌
2011-04-12 18:30,사직,두산,4,4,롯데,무,무,정규시즌
2011-04-13 18:30,사직,두산,10,2,롯데,승,패,정규시즌
2011-04-14 18:30,사직,두산,7,6,롯데,승,패,정규시즌
2011-04-15 18:30,잠실,롯데,2,8,LG,패,승,정규시즌
2011-04-16 17:00,잠실,롯데,3,4,LG,패,승,정규시즌
2011-04-17 17:00,잠실,롯데,4,1,LG,승,패,정규시즌
2011-04-19 18:30,대전,롯데,2,2,한화,무,무,정규시즌
2011-04-20 18:30,대전,롯데,2,4,한화,패,승,정규시즌
2011-04-21 18:30,대전,롯데,1,4,한화,패,승,정규시즌
2011-04-23 17:00,사직,SK,6,7,롯데,패,승,정규시즌
2011-04-24 17:00,사직,SK,9,7,롯데,승,패,정규시즌
2011-04-26 18:30,사직,LG,5,8,롯데,패,승,정규시즌
2011-04-27 18:30,사직,LG,15,7,롯데,승,패,정규시즌
2011-04-28 18:30,사직,LG,8,7,롯데,승,패,정규시즌
2011-04-29 18:30,무등,롯데,6,5,기아,승,패,정규시즌
2011-04-30 17:00,무등,롯데,1,4,기아,패,승,정규시즌
2011-05-01 17:00,무등,롯데,7,2,기아,승,패,정규시즌
2011-05-03 18:30,사직,삼성,1,5,롯데,패,승,정규시즌
2011-05-04 18:30,사직,삼성,4,6,롯데,패,승,정규시즌
2011-05-05 14:00,사직,삼성,7,0,롯데,승,패,정규시즌
2011-05-06 18:30,잠실,롯데,10,6,두산,승,패,정규시즌
2011-05-07 17:00,잠실,롯데,8,7,두산,승,패,정규시즌
2011-05-08 17:00,잠실,롯데,0,5,두산,패,승,정규시즌
2011-05-10 17:00,사직,넥센,3,4,롯데,패,승,정규시즌
2011-05-12 18:30,사직,넥센,0,4,롯데,패,승,정규시즌
2011-05-13 18:30,사직,기아,8,6,롯데,승,패,정규시즌
2011-05-14 17:00,사직,기아,3,8,롯데,패,승,정규시즌
2011-05-15 17:00,사직,기아,4,5,롯데,패,승,정규시즌
2011-05-17 18:30,문학,롯데,8,2,SK,승,패,정규시즌
2011-05-18 18:30,문학,롯데,2,4,SK,패,승,정규시즌
2011-05-19 18:30,문학,롯데,3,2,SK,승,패,정규시즌
2011-05-21 17:00,잠실,롯데,4,5,LG,패,승,정규시즌
2011-05-22 17:00,잠실,롯데,4,7,LG,패,승,정규시즌
2011-05-24 18:30,사직,삼성,3,4,롯데,패,승,정규시즌
2011-05-25 18:30,사직,삼성,3,3,롯데,무,무,정규시즌
2011-05-27 18:30,무등,롯데,3,11,기아,패,승,정규시즌
2011-05-28 17:00,무등,롯데,9,0,기아,승,패,정규시즌
2011-05-29 17:00,무등,롯데,5,7,기아,패,승,정규시즌
2011-05-31 18:30,사직,넥센,7,8,롯데,패,승,정규시즌
2011-06-01 18:30,사직,넥센,2,5,롯데,패,승,정규시즌
2011-06-02 18:30,사직,넥센,11,10,롯데,승,패,정규시즌
2011-06-03 18:30,사직,LG,7,5,롯데,승,패,정규시즌
